"","country","year","LifeExp","income","population","continent"
"118","Norway",1800,37.9,2530,900000,"Europe"
"119","Oman",1800,32.3,915,300000,"Middle East"
"120","Pakistan",1800,25.8,1020,13100000,"Asia"
"121","Panama",1800,32.9,847,75600,"The Americas"
"122","Papua New Guinea",1800,31.5,546,755000,"Oceania"
"123","Paraguay",1800,35.5,835,300000,"The Americas"
"124","Peru",1800,35.7,1120,1270000,"The Americas"
"125","Philippines",1800,30.9,1090,2500000,"Asia"
"126","Poland",1800,35.9,1100,9000000,"Europe"
"127","Portugal",1800,35.6,1730,2750000,"Europe"
"128","Qatar",1800,30.8,1100,14100,"Middle East"
"129","Romania",1800,35.7,377,5500000,"Europe"
"130","Russia",1800,29.6,1430,31300000,"Europe"
"131","Rwanda",1800,31.8,431,928000,"Africa"
"132","Samoa",1800,25.4,1400,47300,"Oceania"
"133","Sao Tome and Principe",1800,31,850,22700,"Africa"
"134","Saudi Arabia",1800,32.1,2370,2000000,"Middle East"
"135","Senegal",1800,25.2,497,1010000,"Africa"
"136","Serbia",1800,35.5,1360,2150000,"Europe"
"137","Seychelles",1800,37,792,12500,"Africa"
"138","Sierra Leone",1800,25.1,734,794000,"Africa"
"139","Singapore",1800,29.1,1020,30000,"Asia"
"140","Slovenia",1800,36.6,1410,470000,"Europe"
"141","Solomon Islands",1800,25.1,363,57000,"Oceania"
"142","Somalia",1800,29.4,694,989000,"Africa"
"143","South Africa",1800,33.5,2280,1450000,"Africa"
"144","South Korea",1800,25.8,462,9400000,"Asia"
"145","South Sudan",1800,26.7,507,1030000,"Africa"
"146","Spain",1800,29.5,1600,11500000,"Europe"
"147","Sri Lanka",1800,32.6,799,1750000,"Asia"
"148","St. Lucia",1800,28,874,24000,"The Americas"
"149","St. Vincent and the Grenadines",1800,26,838,25800,"The Americas"
"150","Sudan",1800,31.4,518,3990000,"Africa"
"151","Suriname",1800,32.9,1640,80700,"The Americas"
"152","Swaziland",1800,32.3,490,86000,"Africa"
"153","Sweden",1800,32.2,1450,2500000,"Europe"
"154","Switzerland",1800,38,2700,1750000,"Europe"
"155","Syria",1800,31.1,502,1250000,"Middle East"
"156","Tajikistan",1800,24.2,556,467000,"Asia"
"157","Tanzania",1800,32.2,562,3000000,"Africa"
"158","Thailand",1800,30.4,795,3000000,"Asia"
"159","Timor-Leste",1800,28.9,521,137000,"Asia"
"160","Togo",1800,31.3,682,446000,"Africa"
"161","Tonga",1800,28.2,663,18700,"Oceania"
"162","Trinidad and Tobago",1800,32.9,1230,20000,"The Americas"
"163","Tunisia",1800,28.8,715,800000,"Africa"
"164","Turkey",1800,35,1190,9760000,"Europe"
"165","Turkmenistan",1800,24,943,367000,"Asia"
"166","Uganda",1800,25.3,464,2500000,"Africa"
"167","Ukraine",1800,36.6,763,11200000,"Europe"
"168","United Arab Emirates",1800,30.7,998,40200,"Middle East"
"169","United Kingdom",1800,38.6,3280,10800000,"Europe"
"170","United States",1800,39.4,1980,6000000,"The Americas"
"171","Uruguay",1800,32.9,1810,55000,"The Americas"
"172","Uzbekistan",1800,26.9,502,1920000,"Asia"
"173","Vanuatu",1800,24.3,585,27800,"Oceania"
"174","Venezuela",1800,32.2,1210,1000000,"The Americas"
"175","Vietnam",1800,32,778,4000000,"Asia"
"176","Yemen",1800,23.4,877,2590000,"Middle East"
"177","Zambia",1800,32.6,663,747000,"Africa"
"178","Zimbabwe",1800,33.7,869,1090000,"Africa"
"179","Afghanistan",1801,28.2,603,3280000,"Asia"
"180","Albania",1801,35.4,667,402000,"Europe"
"181","Algeria",1801,28.8,716,2510000,"Africa"
"182","Andorra",1801,NA,1200,2650,"Europe"
"183","Angola",1801,27,620,1570000,"Africa"
"184","Antigua and Barbuda",1801,33.5,757,37000,"The Americas"
"185","Argentina",1801,33.2,1640,520000,"The Americas"
"186","Armenia",1801,34,514,413000,"Asia"
"187","Australia",1801,34,822,205000,"Oceania"
"188","Austria",1801,34.4,1850,3020000,"Europe"
"189","Azerbaijan",1801,29.2,775,880000,"Asia"
"190","Bahrain",1801,30.3,1240,64500,"Middle East"
"191","Bangladesh",1801,25.5,876,19200000,"Asia"
"192","Barbados",1801,32.1,914,81700,"The Americas"
"193","Belarus",1801,36.2,608,2360000,"Europe"
"194","Belgium",1801,40,2390,3260000,"Europe"
"195","Belize",1801,26.5,579,25500,"The Americas"
"196","Benin",1801,31,597,637000,"Africa"
"197","Bhutan",1801,28.8,629,392000,"Asia"
"198","Bolivia",1801,33,854,897000,"The Americas"
"199","Bosnia and Herzegovina",1801,35.1,669,852000,"Europe"
"200","Botswana",1801,33.6,397,121000,"Africa"
"201","Brazil",1801,32,1120,2570000,"The Americas"
"202","Brunei",1801,29.2,1510,2260,"Asia"
"203","Bulgaria",1801,35.8,1090,2250000,"Europe"
"204","Burkina Faso",1801,29.2,480,1670000,"Africa"
"205","Burundi",1801,31.5,418,899000,"Africa"
"206","Cambodia",1801,35,385,2090000,"Asia"
"207","Cameroon",1801,28.8,626,1860000,"Africa"
"208","Canada",1801,39,1320,512000,"The Americas"
"209","Central African Republic",1801,30,424,479000,"Africa"
"210","Chad",1801,30.9,418,1440000,"Africa"
"211","Chile",1801,32,744,771000,"The Americas"
"212","China",1801,32,735,332000000,"Asia"
"213","Colombia",1801,32,932,1210000,"The Americas"
"214","Comoros",1801,32.1,697,56300,"Africa"
"215","Costa Rica",1801,30.2,775,53500,"The Americas"
"216","Cote d'Ivoire",1801,31.2,816,1090000,"Africa"
"217","Croatia",1801,36.1,1090,1230000,"Europe"
"218","Cuba",1801,32.3,909,293000,"The Americas"
"219","Cyprus",1801,38.5,854,184000,"Europe"
"220","Czech Republic",1801,35,1920,5520000,"Europe"
"221","Denmark",1801,38.5,2020,1010000,"Europe"
"222","Djibouti",1801,29.9,754,22800,"Africa"
"223","Dominica",1801,NA,663,20000,"The Americas"
"224","Dominican Republic",1801,29.9,667,146000,"The Americas"
"225","Ecuador",1801,32.9,529,500000,"The Americas"
"226","Egypt",1801,33,1600,3530000,"Africa"
"227","El Salvador",1801,28.7,975,238000,"The Americas"
"228","Equatorial Guinea",1801,29.8,356,80400,"Africa"
"229","Eritrea",1801,30.2,532,205000,"Africa"
"230","Estonia",1801,35.7,939,334000,"Europe"
"231","Ethiopia",1801,29.7,523,12000000,"Africa"
"232","Fiji",1801,26.1,785,131000,"Oceania"
"233","Finland",1801,40.3,1240,815000,"Europe"
"234","France",1801,36.4,1850,29100000,"Europe"
"235","Gabon",1801,30.6,390,158000,"Africa"
"236","Georgia",1801,31.9,543,1070000,"Asia"
"237","Germany",1801,38.4,2010,18300000,"Europe"
"238","Ghana",1801,28,696,2020000,"Africa"
"239","Greece",1801,36.6,1370,2250000,"Europe"
"240","Grenada",1801,31.4,959,29400,"The Americas"
"241","Guatemala",1801,25.8,857,469000,"The Americas"
"242","Guinea",1801,29.5,450,984000,"Africa"
"243","Guinea-Bissau",1801,32,567,218000,"Africa"
"244","Guyana",1801,31.1,1210,166000,"The Americas"
"245","Haiti",1801,29,633,509000,"The Americas"
"246","Honduras",1801,33.9,675,130000,"The Americas"
"247","Hungary",1801,36,1250,3290000,"Europe"
"248","Iceland",1801,33.9,926,61400,"Europe"
"249","India",1801,25.4,862,201000000,"Asia"
"250","Indonesia",1801,30,986,16200000,"Asia"
"251","Iran",1801,25.6,1530,6030000,"Middle East"
