"","country","year","LifeExp","income","population","continent"
"4787","Timor-Leste",1826,28.9,548,149000,"Asia"
"4788","Togo",1826,31.3,705,458000,"Africa"
"4789","Tonga",1826,28.2,678,18600,"Oceania"
"4790","Trinidad and Tobago",1826,32.9,1280,63600,"The Americas"
"4791","Tunisia",1826,28.8,752,918000,"Africa"
"4792","Turkey",1826,35,1240,10300000,"Europe"
"4793","Turkmenistan",1826,24,1000,388000,"Asia"
"4794","Uganda",1826,25.3,479,2250000,"Africa"
"4795","Ukraine",1826,36.6,812,11800000,"Europe"
"4796","United Arab Emirates",1826,30.7,1100,40200,"Middle East"
"4797","United Kingdom",1826,39.8,3230,22900000,"Europe"
"4798","United States",1826,39.4,2270,11800000,"The Americas"
"4799","Uruguay",1826,32.9,2040,65600,"The Americas"
"4800","Uzbekistan",1826,26.9,513,2030000,"Asia"
"4801","Vanuatu",1826,24.3,599,29500,"Oceania"
"4802","Venezuela",1826,32.2,1650,815000,"The Americas"
"4803","Vietnam",1826,32,774,6440000,"Asia"
"4804","Yemen",1826,23.4,944,2620000,"Middle East"
"4805","Zambia",1826,32.6,706,1110000,"Africa"
"4806","Zimbabwe",1826,33.7,896,985000,"Africa"
"4807","Afghanistan",1827,27.9,619,3380000,"Asia"
"4808","Albania",1827,35.4,680,451000,"Europe"
"4809","Algeria",1827,28.8,792,2720000,"Africa"
"4810","Andorra",1827,NA,1350,2790,"Europe"
"4811","Angola",1827,27,695,1740000,"Africa"
"4812","Antigua and Barbuda",1827,33.5,796,37000,"The Americas"
"4813","Argentina",1827,33.2,1850,602000,"The Americas"
"4814","Armenia",1827,34,529,441000,"Asia"
"4815","Australia",1827,34,1170,331000,"Oceania"
"4816","Austria",1827,34.4,2330,3490000,"Europe"
"4817","Azerbaijan",1827,29.2,809,938000,"Asia"
"4818","Bahrain",1827,30.3,1390,64500,"Middle East"
"4819","Bangladesh",1827,25.5,875,20600000,"Asia"
"4820","Barbados",1827,32.1,960,92100,"The Americas"
"4821","Belarus",1827,36.2,640,2510000,"Europe"
"4822","Belgium",1827,40.2,2580,3650000,"Europe"
"4823","Belize",1827,26.5,608,25600,"The Americas"
"4824","Benin",1827,31,619,670000,"Africa"
"4825","Bhutan",1827,28.8,640,379000,"Asia"
"4826","Bolivia",1827,33,962,1160000,"The Americas"
"4827","Bosnia and Herzegovina",1827,35.1,695,889000,"Europe"
"4828","Botswana",1827,33.6,412,109000,"Africa"
"4829","Brazil",1827,32,1120,5030000,"The Americas"
"4830","Brunei",1827,29.2,1550,2640,"Asia"
"4831","Bulgaria",1827,37,1130,2260000,"Europe"
"4832","Burkina Faso",1827,29.2,485,1710000,"Africa"
"4833","Burundi",1827,31.5,429,999000,"Africa"
"4834","Cambodia",1827,35,390,2120000,"Asia"
"4835","Cameroon",1827,28.8,650,2040000,"Africa"
"4836","Canada",1827,39,1640,1050000,"The Americas"
"4837","Central African Republic",1827,30,440,560000,"Africa"
"4838","Chad",1827,30.9,434,1610000,"Africa"
"4839","Chile",1827,32,788,903000,"The Americas"
"4840","China",1827,32,811,400000000,"Asia"
"4841","Colombia",1827,32,829,1530000,"The Americas"
"4842","Comoros",1827,32.1,715,57200,"Africa"
"4843","Costa Rica",1827,30.2,841,73200,"The Americas"
"4844","Cote d'Ivoire",1827,31.2,905,1080000,"Africa"
"4845","Croatia",1827,36.1,1430,1310000,"Europe"
"4846","Cuba",1827,35.9,1130,867000,"The Americas"
"4847","Cyprus",1827,38.5,930,185000,"Europe"
"4848","Czech Republic",1827,35,2030,5770000,"Europe"
"4849","Denmark",1827,41.1,2420,1240000,"Europe"
"4850","Djibouti",1827,29.9,819,26100,"Africa"
"4851","Dominica",1827,NA,697,20600,"The Americas"
"4852","Dominican Republic",1827,29.9,695,99900,"The Americas"
"4853","Ecuador",1827,32.9,555,561000,"The Americas"
"4854","Egypt",1827,33,1650,4290000,"Africa"
"4855","El Salvador",1827,28.7,1040,272000,"The Americas"
"4856","Equatorial Guinea",1827,29.8,369,86200,"Africa"
"4857","Eritrea",1827,30.2,543,274000,"Africa"
"4858","Estonia",1827,35.5,1010,364000,"Europe"
"4859","Ethiopia",1827,29.7,525,13400000,"Africa"
"4860","Fiji",1827,26.1,806,137000,"Oceania"
"4861","Finland",1827,42.2,1380,1300000,"Europe"
"4862","France",1827,39.4,1970,32700000,"Europe"
"4863","Gabon",1827,30.6,392,183000,"Africa"
"4864","Georgia",1827,31.9,563,1140000,"Asia"
"4865","Germany",1827,38.4,2430,27100000,"Europe"
"4866","Ghana",1827,28,711,2010000,"Africa"
"4867","Greece",1827,36.6,1710,2470000,"Europe"
"4868","Grenada",1827,31.4,990,30200,"The Americas"
"4869","Guatemala",1827,25.8,910,632000,"The Americas"
"4870","Guinea",1827,29.8,458,994000,"Africa"
"4871","Guinea-Bissau",1827,32,572,216000,"Africa"
"4872","Guyana",1827,31.1,1280,138000,"The Americas"
"4873","Haiti",1827,29,682,768000,"The Americas"
"4874","Honduras",1827,33.9,740,169000,"The Americas"
"4875","Hungary",1827,36,1320,4360000,"Europe"
"4876","Iceland",1827,24.9,1000,59800,"Europe"
"4877","India",1827,25.4,786,215000000,"Asia"
"4878","Indonesia",1827,30,961,18000000,"Asia"
"4879","Iran",1827,25.6,1550,6770000,"Middle East"
"4880","Iraq",1827,31.2,3890,1130000,"Middle East"
"4881","Ireland",1827,38.3,2030,7600000,"Europe"
"4882","Israel",1827,32,883,210000,"Middle East"
"4883","Italy",1827,29.7,3160,21100000,"Europe"
"4884","Jamaica",1827,34.2,1290,392000,"The Americas"
"4885","Japan",1827,36.4,1040,31200000,"Asia"
"4886","Jordan",1827,31.7,1170,234000,"Middle East"
"4887","Kazakhstan",1827,26.2,1220,2180000,"Asia"
"4888","Kenya",1827,25.5,929,2970000,"Africa"
"4889","Kiribati",1827,24.9,564,18500,"Oceania"
"4890","Kuwait",1827,26,1210,81300,"Middle East"
"4891","Latvia",1827,33,805,662000,"Europe"
"4892","Lebanon",1827,29.7,2290,349000,"Middle East"
"4893","Lesotho",1827,32.8,357,249000,"Africa"
"4894","Liberia",1827,31.1,814,317000,"Africa"
"4895","Libya",1827,33.1,1150,242000,"Africa"
"4896","Lithuania",1827,28.9,1360,863000,"Europe"
"4897","Luxembourg",1827,36.9,1580,156000,"Europe"
"4898","Madagascar",1827,30.5,594,1870000,"Africa"
"4899","Malawi",1827,30.3,351,1320000,"Africa"
"4900","Malaysia",1827,30.6,1140,331000,"Asia"
"4901","Maldives",1827,32.6,844,44200,"Asia"
"4902","Mali",1827,26.4,606,1430000,"Africa"
"4903","Malta",1827,28.7,836,140000,"Europe"
"4904","Marshall Islands",1827,NA,548,6850,"Oceania"
"4905","Mauritania",1827,32,547,358000,"Africa"
"4906","Mauritius",1827,28.7,975,91500,"Africa"
"4907","Mexico",1827,26.9,1210,6440000,"The Americas"
"4908","Micronesia, Fed. Sts.",1827,26.7,527,17000,"Oceania"
"4909","Moldova",1827,33.1,647,760000,"Europe"
"4910","Mongolia",1827,31.8,601,626000,"Asia"
"4911","Montenegro",1827,35.4,1120,141000,"Europe"
"4912","Morocco",1827,33.1,730,2730000,"Africa"
"4913","Mozambique",1827,30.3,397,2540000,"Africa"
"4914","Myanmar",1827,30.8,594,3600000,"Asia"
"4915","Namibia",1827,32.4,601,160000,"Africa"
"4916","Nepal",1827,32.8,621,3990000,"Asia"
"4917","Netherlands",1827,39.9,3670,2540000,"Europe"
"4918","New Zealand",1827,34,661,100000,"Oceania"
"4919","Nicaragua",1827,25.4,1050,208000,"The Americas"
"4920","Niger",1827,30.8,463,886000,"Africa"
"4921","Nigeria",1827,30.4,911,12400000,"Africa"
"4922","North Korea",1827,26,245,4370000,"Asia"
"4923","North Macedonia",1827,36.1,733,417000,"Europe"
"4924","Norway",1827,48.4,2690,1080000,"Europe"
"4925","Oman",1827,32.3,945,324000,"Middle East"
"4926","Pakistan",1827,25.8,1020,14000000,"Asia"
"4927","Panama",1827,32.9,919,91900,"The Americas"
"4928","Papua New Guinea",1827,31.5,561,757000,"Oceania"
"4929","Paraguay",1827,35.5,914,176000,"The Americas"
"4930","Peru",1827,35.7,719,1360000,"The Americas"
"4931","Philippines",1827,30.9,1100,2460000,"Asia"
"4932","Poland",1827,35.9,1130,11000000,"Europe"
"4933","Portugal",1827,35.6,1690,3430000,"Europe"
"4934","Qatar",1827,30.8,1210,14100,"Middle East"
"4935","Romania",1827,35.7,416,6730000,"Europe"
"4936","Russia",1827,29.6,1530,33500000,"Europe"
"4937","Rwanda",1827,31.8,446,1040000,"Africa"
"4938","Samoa",1827,25.4,1440,47100,"Oceania"
"4939","Sao Tome and Principe",1827,31,894,23900,"Africa"
"4940","Saudi Arabia",1827,32.1,2410,2120000,"Middle East"
"4941","Senegal",1827,25.2,516,991000,"Africa"
"4942","Serbia",1827,35.5,1440,2120000,"Europe"
"4943","Seychelles",1827,37,881,12800,"Africa"
"4944","Sierra Leone",1827,25.1,761,791000,"Africa"
"4945","Singapore",1827,34,1040,34700,"Asia"
"4946","Slovenia",1827,36.6,1500,499000,"Europe"
"4947","Solomon Islands",1827,25.1,373,61500,"Oceania"
"4948","Somalia",1827,29.4,712,1100000,"Africa"
"4949","South Africa",1827,33.5,2020,1810000,"Africa"
"4950","South Korea",1827,25.8,462,9430000,"Asia"
"4951","South Sudan",1827,26.7,526,1090000,"Africa"
"4952","Spain",1827,29.5,1810,12800000,"Europe"
"4953","Sri Lanka",1827,32.6,804,1400000,"Asia"
"4954","St. Lucia",1827,28,897,24000,"The Americas"
"4955","St. Vincent and the Grenadines",1827,26,881,26700,"The Americas"
"4956","Sudan",1827,31.4,538,4240000,"Africa"
"4957","Suriname",1827,32.9,1720,81800,"The Americas"
"4958","Swaziland",1827,32.3,508,74600,"Africa"
"4959","Sweden",1827,42.6,1550,2780000,"Europe"
"4960","Switzerland",1827,38,3160,2070000,"Europe"
"4961","Syria",1827,31.1,522,1370000,"Middle East"
"4962","Tajikistan",1827,24.2,583,497000,"Asia"
"4963","Tanzania",1827,32.2,574,3470000,"Africa"
"4964","Thailand",1827,30.4,802,4790000,"Asia"
"4965","Timor-Leste",1827,28.9,550,151000,"Asia"
"4966","Togo",1827,31.3,708,459000,"Africa"
"4967","Tonga",1827,28.2,680,18600,"Oceania"
"4968","Trinidad and Tobago",1827,32.9,1280,64200,"The Americas"
"4969","Tunisia",1827,28.8,758,926000,"Africa"
"4970","Turkey",1827,35,1240,10300000,"Europe"
"4971","Turkmenistan",1827,24,1010,391000,"Asia"
"4972","Uganda",1827,25.3,481,2280000,"Africa"
"4973","Ukraine",1827,36.6,817,12000000,"Europe"
"4974","United Arab Emirates",1827,30.7,1100,40200,"Middle East"
"4975","United Kingdom",1827,41.1,3430,23200000,"Europe"
"4976","United States",1827,39.4,2280,12200000,"The Americas"
"4977","Uruguay",1827,32.9,2050,67500,"The Americas"
"4978","Uzbekistan",1827,26.9,515,2050000,"Asia"
"4979","Vanuatu",1827,24.3,601,29800,"Oceania"
"4980","Venezuela",1827,32.2,1770,833000,"The Americas"
"4981","Vietnam",1827,32,773,6420000,"Asia"
"4982","Yemen",1827,23.4,947,2630000,"Middle East"
"4983","Zambia",1827,32.6,708,1120000,"Africa"
"4984","Zimbabwe",1827,33.7,898,969000,"Africa"
"4985","Afghanistan",1828,27.9,621,3400000,"Asia"
"4986","Albania",1828,35.4,681,453000,"Europe"
"4987","Algeria",1828,28.8,801,2730000,"Africa"
"4988","Andorra",1828,NA,1370,2810,"Europe"
"4989","Angola",1828,27,698,1760000,"Africa"
"4990","Antigua and Barbuda",1828,33.5,801,37000,"The Americas"
"4991","Argentina",1828,33.2,1860,613000,"The Americas"
"4992","Armenia",1828,34,531,445000,"Asia"
"4993","Australia",1828,34,1200,331000,"Oceania"
"4994","Austria",1828,34.4,2360,3500000,"Europe"
"4995","Azerbaijan",1828,29.2,814,947000,"Asia"
"4996","Bahrain",1828,30.3,1390,64500,"Middle East"
"4997","Bangladesh",1828,25.5,875,20700000,"Asia"
"4998","Barbados",1828,32.1,967,93600,"The Americas"
"4999","Belarus",1828,36.2,644,2530000,"Europe"
"5000","Belgium",1828,40.2,2590,3680000,"Europe"
"5001","Belize",1828,26.5,613,25600,"The Americas"
"5002","Benin",1828,31,622,675000,"Africa"
"5003","Bhutan",1828,28.8,641,377000,"Asia"
"5004","Bolivia",1828,33,976,1170000,"The Americas"
"5005","Bosnia and Herzegovina",1828,35.1,698,895000,"Europe"
"5006","Botswana",1828,33.6,414,109000,"Africa"
"5007","Brazil",1828,32,1120,5110000,"The Americas"
"5008","Brunei",1828,29.2,1560,2690,"Asia"
"5009","Bulgaria",1828,37,1140,2270000,"Europe"
"5010","Burkina Faso",1828,29.2,485,1710000,"Africa"
"5011","Burundi",1828,31.5,429,1010000,"Africa"
"5012","Cambodia",1828,35,390,2130000,"Asia"
"5013","Cameroon",1828,28.8,653,2070000,"Africa"
"5014","Canada",1828,39,1660,1090000,"The Americas"
"5015","Central African Republic",1828,30,442,573000,"Africa"
"5016","Chad",1828,30.9,436,1620000,"Africa"
"5017","Chile",1828,32,794,923000,"The Americas"
"5018","China",1828,32,805,403000000,"Asia"
"5019","Colombia",1828,32,827,1580000,"The Americas"
"5020","Comoros",1828,32.1,716,57300,"Africa"
"5021","Costa Rica",1828,30.2,850,74800,"The Americas"
"5022","Cote d'Ivoire",1828,31.2,909,1070000,"Africa"
"5023","Croatia",1828,36.1,1440,1320000,"Europe"
"5024","Cuba",1828,35.8,1140,913000,"The Americas"
"5025","Cyprus",1828,38.5,941,185000,"Europe"
"5026","Czech Republic",1828,35,2050,5840000,"Europe"
"5027","Denmark",1828,36.6,2440,1250000,"Europe"
"5028","Djibouti",1828,29.9,822,26600,"Africa"
"5029","Dominica",1828,NA,702,20700,"The Americas"
"5030","Dominican Republic",1828,29.9,699,102000,"The Americas"
"5031","Ecuador",1828,32.9,558,570000,"The Americas"
"5032","Egypt",1828,33,1660,4300000,"Africa"
"5033","El Salvador",1828,28.7,1050,275000,"The Americas"
"5034","Equatorial Guinea",1828,29.8,369,87000,"Africa"
"5035","Eritrea",1828,30.2,545,285000,"Africa"
"5036","Estonia",1828,35.5,1010,368000,"Europe"
"5037","Ethiopia",1828,28,526,13500000,"Africa"
"5038","Fiji",1828,26.1,809,137000,"Oceania"
"5039","Finland",1828,40.6,1390,1320000,"Europe"
"5040","France",1828,37.5,1960,32900000,"Europe"
"5041","Gabon",1828,30.6,392,187000,"Africa"
"5042","Georgia",1828,31.9,566,1150000,"Asia"
"5043","Germany",1828,38.4,2450,27400000,"Europe"
"5044","Ghana",1828,28,711,2010000,"Africa"
"5045","Greece",1828,36.6,1740,2490000,"Europe"
"5046","Grenada",1828,31.4,995,30300,"The Americas"
"5047","Guatemala",1828,25.8,917,637000,"The Americas"
"5048","Guinea",1828,29.8,459,996000,"Africa"
"5049","Guinea-Bissau",1828,32,572,216000,"Africa"
"5050","Guyana",1828,31.1,1290,135000,"The Americas"
"5051","Haiti",1828,29,689,775000,"The Americas"
"5052","Honduras",1828,33.9,749,174000,"The Americas"
"5053","Hungary",1828,36,1330,4400000,"Europe"
"5054","Iceland",1828,29.6,1010,59600,"Europe"
"5055","India",1828,25.4,787,216000000,"Asia"
"5056","Indonesia",1828,30,944,18200000,"Asia"
"5057","Iran",1828,25.6,1550,6800000,"Middle East"
"5058","Iraq",1828,31.2,3900,1130000,"Middle East"
"5059","Ireland",1828,38.3,2070,7680000,"Europe"
"5060","Israel",1828,32,883,210000,"Middle East"
"5061","Italy",1828,29.7,3130,21200000,"Europe"
"5062","Jamaica",1828,34.2,1280,391000,"The Americas"
"5063","Japan",1828,36.4,1040,31300000,"Asia"
"5064","Jordan",1828,31.7,1180,237000,"Middle East"
"5065","Kazakhstan",1828,26.2,1230,2200000,"Asia"
"5066","Kenya",1828,25.5,932,2980000,"Africa"
"5067","Kiribati",1828,24.9,565,18600,"Oceania"
"5068","Kuwait",1828,26,1220,81300,"Middle East"
"5069","Latvia",1828,33,810,673000,"Europe"
"5070","Lebanon",1828,29.7,2310,352000,"Middle East"
"5071","Lesotho",1828,32.8,357,246000,"Africa"
"5072","Liberia",1828,31.1,817,318000,"Africa"
"5073","Libya",1828,33.1,1160,243000,"Africa"
"5074","Lithuania",1828,28.9,1370,876000,"Europe"
"5075","Luxembourg",1828,36.9,1600,161000,"Europe"
"5076","Madagascar",1828,30.5,597,1900000,"Africa"
"5077","Malawi",1828,30.3,351,1340000,"Africa"
"5078","Malaysia",1828,30.6,1140,338000,"Asia"
"5079","Maldives",1828,32.6,844,44400,"Asia"
"5080","Mali",1828,26.4,606,1430000,"Africa"
"5081","Malta",1828,28.7,843,141000,"Europe"
"5082","Marshall Islands",1828,NA,548,7010,"Oceania"
"5083","Mauritania",1828,32,550,355000,"Africa"
"5084","Mauritius",1828,28.7,980,92000,"Africa"
"5085","Mexico",1828,26.9,1210,6420000,"The Americas"
"5086","Micronesia, Fed. Sts.",1828,26.7,527,17100,"Oceania"
"5087","Moldova",1828,33.1,650,767000,"Europe"
"5088","Mongolia",1828,31.8,602,627000,"Asia"
"5089","Montenegro",1828,35.4,1130,143000,"Europe"
"5090","Morocco",1828,33.1,734,2730000,"Africa"
"5091","Mozambique",1828,30.3,397,2610000,"Africa"
"5092","Myanmar",1828,30.8,594,3610000,"Asia"
"5093","Namibia",1828,32.4,610,158000,"Africa"
"5094","Nepal",1828,32.8,621,4000000,"Asia"
"5095","Netherlands",1828,39.9,3750,2570000,"Europe"
"5096","New Zealand",1828,34,661,100000,"Oceania"
"5097","Nicaragua",1828,25.4,1060,211000,"The Americas"
"5098","Niger",1828,30.8,465,890000,"Africa"
"5099","Nigeria",1828,30.4,915,12500000,"Africa"
"5100","North Korea",1828,26,245,4370000,"Asia"
"5101","North Macedonia",1828,36.1,739,420000,"Europe"
"5102","Norway",1828,46.2,2700,1090000,"Europe"
"5103","Oman",1828,32.3,949,325000,"Middle East"
"5104","Pakistan",1828,25.8,1020,14000000,"Asia"
"5105","Panama",1828,32.9,930,92600,"The Americas"
"5106","Papua New Guinea",1828,31.5,563,757000,"Oceania"
"5107","Paraguay",1828,35.5,926,182000,"The Americas"
"5108","Peru",1828,35.7,713,1360000,"The Americas"
"5109","Philippines",1828,30.9,1110,2510000,"Asia"
"5110","Poland",1828,35.9,1150,11100000,"Europe"
"5111","Portugal",1828,35.6,1750,3450000,"Europe"
"5112","Qatar",1828,30.8,1220,14100,"Middle East"
"5113","Romania",1828,35.7,421,6780000,"Europe"
"5114","Russia",1828,29.6,1540,33800000,"Europe"
"5115","Rwanda",1828,31.8,447,1060000,"Africa"
"5116","Samoa",1828,25.4,1440,47100,"Oceania"
"5117","Sao Tome and Principe",1828,31,896,24100,"Africa"
"5118","Saudi Arabia",1828,32.1,2410,2130000,"Middle East"
"5119","Senegal",1828,25.2,518,988000,"Africa"
"5120","Serbia",1828,35.5,1450,2110000,"Europe"
"5121","Seychelles",1828,37,884,12900,"Africa"
"5122","Sierra Leone",1828,25.1,765,790000,"Africa"
"5123","Singapore",1828,34,1040,35400,"Asia"
"5124","Slovenia",1828,36.6,1510,504000,"Europe"
"5125","Solomon Islands",1828,25.1,374,62100,"Oceania"
"5126","Somalia",1828,29.4,712,1110000,"Africa"
"5127","South Africa",1828,33.5,2030,1850000,"Africa"
"5128","South Korea",1828,25.8,462,9430000,"Asia"
"5129","South Sudan",1828,26.7,529,1090000,"Africa"
"5130","Spain",1828,29.5,1820,12900000,"Europe"
"5131","Sri Lanka",1828,32.6,804,1430000,"Asia"
"5132","St. Lucia",1828,28,900,24000,"The Americas"
"5133","St. Vincent and the Grenadines",1828,26,887,26800,"The Americas"
"5134","Sudan",1828,31.4,540,4250000,"Africa"
"5135","Suriname",1828,32.9,1730,81900,"The Americas"
"5136","Swaziland",1828,32.3,510,74300,"Africa"
"5137","Sweden",1828,37.7,1570,2810000,"Europe"
"5138","Switzerland",1828,38,3230,2080000,"Europe"
"5139","Syria",1828,31.1,525,1370000,"Middle East"
"5140","Tajikistan",1828,24.2,586,502000,"Asia"
"5141","Tanzania",1828,32.2,576,3540000,"Africa"
"5142","Thailand",1828,30.4,803,4810000,"Asia"
"5143","Timor-Leste",1828,28.9,551,153000,"Asia"
"5144","Togo",1828,31.3,711,461000,"Africa"
"5145","Tonga",1828,28.2,683,18500,"Oceania"
"5146","Trinidad and Tobago",1828,32.9,1290,64800,"The Americas"
"5147","Tunisia",1828,28.8,764,933000,"Africa"
"5148","Turkey",1828,35,1250,10300000,"Europe"
"5149","Turkmenistan",1828,24,1020,395000,"Asia"
"5150","Uganda",1828,25.3,483,2300000,"Africa"
"5151","Ukraine",1828,36.6,823,12100000,"Europe"
"5152","United Arab Emirates",1828,30.7,1110,40200,"Middle East"
"5153","United Kingdom",1828,42,3390,23500000,"Europe"
"5154","United States",1828,39.4,2280,12500000,"The Americas"
"5155","Uruguay",1828,32.9,2070,69500,"The Americas"
"5156","Uzbekistan",1828,26.9,516,2060000,"Asia"
"5157","Vanuatu",1828,24.3,603,30100,"Oceania"
"5158","Venezuela",1828,32.2,1890,851000,"The Americas"
"5159","Vietnam",1828,32,773,6400000,"Asia"
"5160","Yemen",1828,23.4,949,2630000,"Middle East"
"5161","Zambia",1828,32.6,710,1140000,"Africa"
"5162","Zimbabwe",1828,33.7,899,953000,"Africa"
"5163","Afghanistan",1829,27.9,623,3410000,"Asia"
"5164","Albania",1829,35.4,683,455000,"Europe"
"5165","Algeria",1829,28.8,810,2730000,"Africa"
"5166","Andorra",1829,NA,1380,2830,"Europe"
"5167","Angola",1829,27,701,1790000,"Africa"
"5168","Antigua and Barbuda",1829,33.5,806,37000,"The Americas"
"5169","Argentina",1829,33.2,1880,624000,"The Americas"
"5170","Armenia",1829,34,533,449000,"Asia"
"5171","Australia",1829,34,1270,332000,"Oceania"
"5172","Austria",1829,34.4,2390,3520000,"Europe"
"5173","Azerbaijan",1829,29.2,818,955000,"Asia"
"5174","Bahrain",1829,30.3,1400,64500,"Middle East"
"5175","Bangladesh",1829,25.5,876,20800000,"Asia"
"5176","Barbados",1829,32.1,973,95200,"The Americas"
"5177","Belarus",1829,36.2,647,2560000,"Europe"
"5178","Belgium",1829,40.2,2600,3720000,"Europe"
"5179","Belize",1829,26.5,617,25600,"The Americas"
"5180","Benin",1829,31,625,679000,"Africa"
"5181","Bhutan",1829,28.8,643,375000,"Asia"
"5182","Bolivia",1829,33,989,1180000,"The Americas"
"5183","Bosnia and Herzegovina",1829,35.1,702,900000,"Europe"
"5184","Botswana",1829,33.6,416,108000,"Africa"
"5185","Brazil",1829,32,1120,5200000,"The Americas"
"5186","Brunei",1829,29.2,1560,2740,"Asia"
"5187","Bulgaria",1829,37.1,1140,2280000,"Europe"
"5188","Burkina Faso",1829,29.2,486,1720000,"Africa"
"5189","Burundi",1829,31.5,429,1030000,"Africa"
"5190","Cambodia",1829,35,391,2130000,"Asia"
"5191","Cameroon",1829,28.8,656,2100000,"Africa"
"5192","Canada",1829,39,1670,1130000,"The Americas"
"5193","Central African Republic",1829,30,444,585000,"Africa"
"5194","Chad",1829,30.9,438,1630000,"Africa"
"5195","Chile",1829,32,814,944000,"The Americas"
"5196","China",1829,32,799,406000000,"Asia"
"5197","Colombia",1829,32,825,1630000,"The Americas"
"5198","Comoros",1829,32.1,717,57400,"Africa"
"5199","Costa Rica",1829,30.2,860,76300,"The Americas"
"5200","Cote d'Ivoire",1829,31.2,912,1070000,"Africa"
"5201","Croatia",1829,36.1,1450,1330000,"Europe"
"5202","Cuba",1829,35.6,1150,950000,"The Americas"
"5203","Cyprus",1829,38.5,952,185000,"Europe"
"5204","Czech Republic",1829,35,2070,5920000,"Europe"
"5205","Denmark",1829,31,2380,1260000,"Europe"
"5206","Djibouti",1829,29.9,824,27100,"Africa"
"5207","Dominica",1829,NA,707,20800,"The Americas"
"5208","Dominican Republic",1829,29.9,702,103000,"The Americas"
"5209","Ecuador",1829,32.9,562,579000,"The Americas"
"5210","Egypt",1829,33,1670,4320000,"Africa"
"5211","El Salvador",1829,28.7,1050,279000,"The Americas"
"5212","Equatorial Guinea",1829,29.8,370,87900,"Africa"
"5213","Eritrea",1829,30.2,546,297000,"Africa"
"5214","Estonia",1829,35.4,1020,372000,"Europe"
"5215","Ethiopia",1829,27,526,13700000,"Africa"
"5216","Fiji",1829,26.1,812,137000,"Oceania"
"5217","Finland",1829,36.3,1390,1340000,"Europe"
"5218","France",1829,39.4,2010,33100000,"Europe"
"5219","Gabon",1829,30.6,392,191000,"Africa"
"5220","Georgia",1829,31.9,568,1160000,"Asia"
"5221","Germany",1829,38.4,2470,27700000,"Europe"
"5222","Ghana",1829,28,712,2010000,"Africa"
"5223","Greece",1829,36.6,1760,2510000,"Europe"
"5224","Grenada",1829,31.4,999,30400,"The Americas"
"5225","Guatemala",1829,25.8,925,643000,"The Americas"
"5226","Guinea",1829,29.8,460,997000,"Africa"
"5227","Guinea-Bissau",1829,32,572,216000,"Africa"
"5228","Guyana",1829,31.1,1290,131000,"The Americas"
"5229","Haiti",1829,29,696,782000,"The Americas"
"5230","Honduras",1829,33.9,759,180000,"The Americas"
"5231","Hungary",1829,36,1340,4430000,"Europe"
"5232","Iceland",1829,34.9,1030,59400,"Europe"
"5233","India",1829,25.4,788,217000000,"Asia"
"5234","Indonesia",1829,30,918,18300000,"Asia"
"5235","Iran",1829,25.6,1560,6830000,"Middle East"
"5236","Iraq",1829,31.2,3910,1140000,"Middle East"
"5237","Ireland",1829,38.3,2100,7750000,"Europe"
"5238","Israel",1829,32,883,210000,"Middle East"
"5239","Italy",1829,29.7,3120,21400000,"Europe"
"5240","Jamaica",1829,34.2,1270,390000,"The Americas"
"5241","Japan",1829,36.4,1050,31300000,"Asia"
"5242","Jordan",1829,31.7,1180,239000,"Middle East"
"5243","Kazakhstan",1829,26.2,1240,2220000,"Asia"
"5244","Kenya",1829,25.5,935,3000000,"Africa"
"5245","Kiribati",1829,24.9,565,18700,"Oceania"
"5246","Kuwait",1829,26,1220,81300,"Middle East"
"5247","Latvia",1829,33,815,684000,"Europe"
"5248","Lebanon",1829,29.7,2320,354000,"Middle East"
"5249","Lesotho",1829,32.8,358,242000,"Africa"
"5250","Liberia",1829,31.1,819,318000,"Africa"
"5251","Libya",1829,33.1,1180,244000,"Africa"
"5252","Lithuania",1829,28.9,1380,889000,"Europe"
"5253","Luxembourg",1829,36.9,1620,164000,"Europe"
"5254","Madagascar",1829,30.5,600,1920000,"Africa"
"5255","Malawi",1829,30.3,351,1370000,"Africa"
"5256","Malaysia",1829,30.6,1140,345000,"Asia"
"5257","Maldives",1829,32.6,844,44700,"Asia"
"5258","Mali",1829,26.4,606,1430000,"Africa"
"5259","Malta",1829,28.7,851,141000,"Europe"
"5260","Marshall Islands",1829,NA,549,7170,"Oceania"
"5261","Mauritania",1829,32,553,352000,"Africa"
"5262","Mauritius",1829,31.1,985,92800,"Africa"
"5263","Mexico",1829,26.9,1220,6420000,"The Americas"
"5264","Micronesia, Fed. Sts.",1829,26.7,527,17100,"Oceania"
"5265","Moldova",1829,33.1,654,774000,"Europe"
"5266","Mongolia",1829,31.8,603,628000,"Asia"
"5267","Montenegro",1829,35.4,1140,146000,"Europe"
"5268","Morocco",1829,33.1,738,2740000,"Africa"
"5269","Mozambique",1829,30.3,397,2680000,"Africa"
"5270","Myanmar",1829,30.8,594,3630000,"Asia"
"5271","Namibia",1829,32.4,620,156000,"Africa"
"5272","Nepal",1829,32.8,621,4020000,"Asia"
"5273","Netherlands",1829,39.9,3750,2600000,"Europe"
"5274","New Zealand",1829,34,661,99300,"Oceania"
"5275","Nicaragua",1829,25.4,1070,215000,"The Americas"
"5276","Niger",1829,30.8,467,895000,"Africa"
