country,year,LifeExp,income,population,continent
Serbia,2020,76.2,17400,8740000,Europe
Seychelles,2020,73.8,28500,98300,Africa
Sierra Leone,2020,61.7,1500,7980000,Africa
Singapore,2020,85.3,90500,5850000,Asia
Slovenia,2020,81.6,34600,2080000,Europe
Solomon Islands,2020,69,2170,687000,Oceania
Somalia,2020,59.5,633,15900000,Africa
South Africa,2020,67.2,12000,59300000,Africa
South Korea,2020,83.2,38000,51300000,Asia
South Sudan,2020,60,1950,11200000,Africa
Spain,2020,83.5,36200,46800000,Europe
Sri Lanka,2020,78,12400,21400000,Asia
St. Lucia,2020,76,12800,184000,The Americas
St. Vincent and the Grenadines,2020,72.7,11400,111000,The Americas
Sudan,2020,71,4540,43800000,Africa
Suriname,2020,72.4,14100,587000,The Americas
Swaziland,2020,62.4,9510,1160000,Africa
Sweden,2020,82.9,47400,10100000,Europe
Switzerland,2020,84.4,59100,8650000,Europe
Syria,2020,72.4,2910,17500000,Middle East
Tajikistan,2020,71,3230,9540000,Asia
Tanzania,2020,68.1,3060,59700000,Africa
Thailand,2020,78.8,17900,69800000,Asia
Timor-Leste,2020,71.5,7010,1320000,Asia
Togo,2020,65.3,1650,8280000,Africa
Tonga,2020,72.1,6130,106000,Oceania
Trinidad and Tobago,2020,74.6,28800,1400000,The Americas
Tunisia,2020,78.9,11300,11800000,Africa
Turkey,2020,79.7,25500,84300000,Europe
Turkmenistan,2020,70.5,18500,6030000,Asia
Uganda,2020,67,1920,45700000,Africa
Ukraine,2020,70.9,8770,43700000,Europe
United Arab Emirates,2020,73.8,65300,9890000,Middle East
United Kingdom,2020,81.2,40700,67900000,Europe
United States,2020,78.6,57500,331000000,The Americas
Uruguay,2020,77.5,21300,3470000,The Americas
Uzbekistan,2020,70.8,6790,33500000,Asia
Vanuatu,2020,65.1,2910,307000,Oceania
Venezuela,2020,75.1,9050,28400000,The Americas
Vietnam,2020,74.8,7350,97300000,Asia
Yemen,2020,68.2,2330,29800000,Middle East
Zambia,2020,64.3,3650,18400000,Africa
Zimbabwe,2020,62.3,2410,14900000,Africa
